CEM;Codice Edificio Regione Piemonte;V_PRO;Ente di competenza;Comune;Cod Comune;Stato esistenza edificio;Stato compilazione;Edificio principale;V_USO;Flag Statale;Frazione o Localita`;V_INDIRIZZO;Ente proprietario edificio;Ente proprietario edificio;GRADO;C_SO1;GRA_SO1;DENO SO1;COD_SEDEM_SO1;COD_SEDERP_SO1;C_SO2;GRA_SO2;DENO SO2;COD_SEDEM_SO2;COD_SEDERP_SO2;C_SO3;GRA_SO3;DENO SO3;COD_SEDEM_SO3;COD_SEDERP_SO3;C_SO4;GRA_SO4;DENO SO4;COD_SEDEM_SO4;COD_SEDERP_SO4;C_SO5;GRA_SO5;DENO SO5;COD_SEDEM_SO5;COD_SEDERP_SO5;C_SO6;GRA_SO6;DENO SO6;COD_SEDEM_SO6;COD_SEDERP_SO6
NO000341;0030160006;NO;Comune;Bellinzago Novarese;003016;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;via Demedici, 35/A;04. Comune;Si;SEC 1-;3;SEC 1¯;C. CALCATERRA;NOMM813013;0030163001;;;;;
NO000342;0031060010;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Vallauri, 4;04. Comune;Si;SEC 1-;3;SEC 1¯;C. T. BELLINI;NOMM82301N;0031063004;;;;;
NO000343;0031060071;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;No;capoluogo;Largo De Pagave, 1;04. Comune;Si;INF-;1;INF;OPERA PIA NEGRONI PER GLI ASILI D'INFANZIA;NO1A02700A;0031061049;;;;;
NO000344;0031060039;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;BALUARDO D`AZEGLIO MASSIMO, 1;04. Comune;Si;SEC 1-;3;SEC 1¯;DUCA D'AOSTA;NOMM826015;0031063001;;;;;
NO000345;0031060025;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;novara;Via Magalotti, 13;04. Comune;Si;SEC 1-;3;SEC 1¯;PIER LOMBARDO;NOMM82801R;0031063003;;;;;
NO000347;0031060057;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;;capoluogo;Via Collegio Gallarini, s.n.c.;04. Comune;Si;-;;;;;;;;;;
NO000348;0031060037;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Premuda, 28/30;04. Comune;Si;SEC 1-;3;SEC 1¯;P. FORNARA - L. OSSOLA;NOMM82401D;0031063012;;;;;
NO000349;0031060009;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Juvarra, 7/a;04. Comune;Si;SEC 1-;3;SEC 1¯;VIA JUVARRA;NOMM83101L;0031063017;;;;;
NO000351;0030950001;NO;Comune;Meina;003095;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Meina;Piazza Carabelli, 5;04. Comune;Si;INF-;1;INF;.;NOAA81903X;0030951001;;;;;
NO000357;0030160001;NO;Comune;Bellinzago Novarese;003016;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;Via Vescovo Bovio, 9;04. Comune;Si;PRI-;2;PRI;SCUOLA PRIMARIA STATALE -;NOEE813014;0030162001;;;;;
NO000358;0030160004;NO;Comune;Bellinzago Novarese;003016;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;Via Vescovo Bovio, 7;04. Comune;Si;PRI-;2;PRI;SCUOLA PRIMARIA STATALE -;NOEE813014;0030162001;;;;;
NO000361;0030240006;NO;Comune;Borgomanero;003024;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;Frazione;Via Castello, 25;04. Comune;Si;INF-PRI-;1;INF;.;NOAA01504P;0030241011;2;PRI;.;NOEE01502T;0030242002
NO000363;0030320004;NO;Comune;Cameri;003032;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIA MARE` - STALLA SPERANZA, 36;04. Comune;Si;SEC 1-;3;SEC 1¯;F. TADINI;NOMM81001G;0030323001;;;;;
NO000367;0030360001;NO;Comune;Carpignano Sesia;003036;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;Via Ettore Piazza, 5;04. Comune;Si;PRI-SEC 1-;2;PRI;PIERO FORNARA;NOEE80701R;0030362001;3;SEC 1;O. F. MOSSOTTI;NOMM80701Q;0030363002
NO000368;0030650002;NO;Comune;Fara Novarese;003065;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;Via Garibaldi, 17;04. Comune;Si;PRI-;2;PRI;DI FARA NOVARESE;NOEE80703V;0030652001;;;;;
NO000369;0030430001;NO;Comune;Castelletto sopra Ticino;003043;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via XXV Aprile, 14;04. Comune;Si;SEC 1-;3;SEC 1¯;SERAFINO BELFANTI;NOMM82201T;0030433001;;;;;
NO000370;0030250001;NO;Comune;Borgo Ticino;003025;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Borgo Ticino;Largo Salvo D`Acquisto, 2;04. Comune;Si;PRI-;2;PRI;KENNEDY;NOEE82201V;0030252001;;;;;
NO000371;0030490003;NO;Comune;Cerano;003049;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;viale marchetti, 20;04. Comune;Si;SEC 1-;3;SEC 1¯;PACIFICO RAMATI;NOMM80901B;0030493001;;;;;
NO000375;0030680002;NO;Comune;Galliate;003068;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Largo Piave, 4;04. Comune;Si;SEC 1-;3;SEC 1¯;A. GAMBARO;NOMM818016;0030683001;;;;;
NO000376;0030710005;NO;Comune;Gattico;003071;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Maggiate;Via Maggiate, 2;04. Comune;Si;PRI-;2;PRI;DI MAGGIATE;NOEE82006C;0030712001;;;;;
NO000377;0030820002;NO;Comune;Invorio;003082;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;Invorio Inferiore;Largo Alpini, 8;04. Comune;Si;SEC 1-;3;SEC 1¯;GUIDO PETTER;NOMM819012;0030823002;;;;;
NO000378;0030730003;NO;Comune;Ghemme;003073;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;GHEMME;VIA VITTORIO VENETO, 20;04. Comune;Si;PRI-SEC 1-;2;PRI;A. ANTONELLI;NOEE81203A;0030732001;3;SEC 1;M. CRESPI;NOMM812028;0030733001
NO000379;0030790002;NO;Comune;Grignasco;003079;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Largo Ferrari, 3;04. Comune;Si;PRI-SEC 1-;2;PRI;PINET TURLO;NOEE81103E;0030792001;3;SEC 1;GIOVANNI XXIII;NOMM81101B;0030793001
NO000380;0030760004;NO;Provincia;Gozzano;003076;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;VIA GENTILE GIACOMO FILIPPO, 33;04. Comune;Si;SEC 2-SEC 2-;4;SEC 2¯;.;NOPS040011;0030764001;4;SEC 2;.;NOPS040011;0030764003
NO000383;0031000005;NO;Comune;Momo;003100;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Marconi, 13;04. Comune;Si;SEC 1-;3;SEC 1¯;DI MOMO;NOMM81701A;0031003001;;;;;
NO000384;0030300001;NO;Comune;Caltignaga;003030;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Roma, 11;04. Comune;Si;SEC 1-;3;SEC 1¯;GIANLUIGI  DAFFARA;NOMM80703T;0030303001;;;;;
NO000385;0031080004;NO;Comune;Oleggio;003108;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Viale Paganini, 21;04. Comune;Si;SEC 1-;3;SEC 1¯;SCUOLA SECONDARIA DI I GRADO STATALE E. S. VERJUS;NOMM81601E;0031083001;;;;;
NO000386;0030060003;NO;Comune;Armeno;003006;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Viale Cadorna, 3;02. Regione;Si;SEC 1-;3;SEC 1¯;DI ARMENO;NOMM80403A;0030063001;;;;;
NO000390;0031300005;NO;Comune;Romagnano Sesia;003130;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;CAPOLUOGO;VICOLO ASILO, 3;04. Comune;Si;SEC 1-;3;SEC 1¯;G. CURIONI;NOMM812017;0031303001;;;;;;;;;;
NO000391;0031310001;NO;Comune;Romentino;003131;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Raffaello SANZIO, 2;04. Comune;Si;SEC 1-;3;SEC 1¯;G. PASTORE;NOMM83001R;0031313001;;;;;;;;;;
NO000393;0031330001;NO;Comune;San Maurizio d`Opaglio;003133;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Torchio, 10;04. Comune;Si;SEC 1-;3;SEC 1¯;.;NOMM804018;0031333001;;;;;;;;;;
NO000395;0031430005;NO;Comune;Suno;003143;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;capoluogo;PIAZZA G.B. RICCI, 1;04. Comune;Si;SEC 1-;3;SEC 1¯;G. RAVIZZA;NOMM81703C;0031433001;;;;;;;;;;
NO000396;0031490006;NO;Comune;Trecate;003149;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;capoluogo;VIA ANDANTE, 14;04. Comune;Si;PRI-;2;PRI;DON MILANI;NOEE83001T;0031492004;;;;;;;;;;
NO000397;0031540003;NO;Comune;Varallo Pombia;003154;Utilizzato per uso scolastico;Attesa Validazione per Modifica;Unico;DIDATTICA;SI;capoluogo;Via Circonvallazione, 46;04. Comune;Si;SEC 1-;3;SEC 1¯;DON GIUSEPPE ROSSI;NOMM80601X;0031543001;;;;;;;;;;
NO000402;0031580003;NO;Comune;Vespolate;003158;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Tonale, 23;04. Comune;Si;SEC 1-;3;SEC 1¯;MALUSARDI;NOMM80902C;0031583001;;;;;;;;;;
NO000408;0031060063;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Viale Baluardo La Marmora, 8/C;04. Comune;Si;SEC 2-SEC 2-;4;SEC 2¯;CARLO ALBERTO;NOPC07000L;0031064021;4;SEC 2;CARLO ALBERTO;NOPC07000L;0031064063;;;;;
NO000411;0031060061;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;Viale Baluardo La Marmora, 10;04. Comune;Si;SEC 2-SEC 2-;4;SEC 2¯;CARLO ALBERTO;NOPC07000L;0031064062;4;SEC 2;C. T. BELLINI;NOPM010005;0031064012;;;;;
NO000412;0031060053;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;No;DIDATTICA;SI;capoluogo;Viale Baluardo La Marmora, 10;04. Comune;Si;SEC 2-SEC 2-;4;SEC 2¯;CARLO ALBERTO;NOPC07000L;0031064062;4;SEC 2;C. T. BELLINI;NOPM010005;0031064012;;;;;
NO000414;0031060065;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;No;PALESTRA;SI;capoluogo;Viale Curtatone, 3;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;O. F. MOSSOTTI;NOTD09000R;0031064010;4;SEC 2;O. F. MOSSOTTI;NOTD09000R;0031064051;;;;;
NO000415;0031060043;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Toscana, 20;03. Provincia;Si;SEC 2-;4;SEC 2¯;A. ANTONELLI;NOPS010004;0031064014;;;;;;;;;;
NO000417;0031060044;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Camoletti, 21;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;A. ANTONELLI;NOPS010004;0031064039;4;SEC 2;GIACOMO FAUSER;NOTF040002;0031064036;;;;;
NO000418;0030080001;NO;Provincia;Arona;003008;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;Via Montenero, 15;03. Provincia;Si;SEC 2-SEC 2-SEC 2-;4;SEC 2¯;FERMI;NOPS00401T;0030084003;4;SEC 2;FERMI;NOPS00401T;0030084015;4;SEC 2;FERMI;NOTD00401N;0030084014
NO000420;0030240001;NO;Provincia;Borgomanero;003024;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Aldo Moro, 13;03. Provincia;Si;SEC 2-SEC 2-SEC 2-;4;SEC 2¯;G. GALILEI;NOPS04000X;0030244003;4;SEC 2;LEONARDO DA VINCI;NOTF02000R;0030244001;4;SEC 2;LEONARDO DA VINCI;NOTF02000R;0030244009
NO000423;0030840001;NO;Provincia;Lesa;003084;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;Solcio;Corso Sempione, 150;04. Comune;Si;SEC 2-;4;SEC 2¯;E. E  G. CAVALLINI;NORA00301G;0030844001;;;;;;;;;;
NO000425;0031060058;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;Viale Baluardo d`Azeglio, 3;04. Comune;Si;SEC 2-;4;SEC 2¯;GIUSEPPE RAVIZZA;NORC01000L;0031064055;;;;;
NO000428;0031060046;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;Via Liguria, 5;03. Provincia;Si;SEC 2-;4;SEC 2¯;C. T. BELLINI;NORI00601P;0031064017;;;;;
NO000434;0031060056;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Greppi, 18;05. Altro ente pubblico;Si;SEC 2-;4;SEC 2¯;FELICE CASORATI;NOSL010001;0031064013;;;;;
NO000435;0031060048;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;Vignale;Corso Risorgimento, 405;03. Provincia;Si;SEC 2-;4;SEC 2¯;BONFANTINI;NOTA00301B;0031064022;;;;;
NO000441;0031060049;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;Viale Curtatone, 3;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;O. F. MOSSOTTI;NOTD09000R;0031064010;4;SEC 2;O. F. MOSSOTTI;NOTD09000R;0031064051
NO000442;0031060040;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;No;PALESTRA;SI;Vignale;Corso Risorgimento, 405;03. Provincia;Si;SEC 2-;4;SEC 2¯;BONFANTINI;NOTA00301B;0031064022;;;;;
NO000445;0031060055;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;VIALE VERDI GIUSEPPE, 3/A;05. Altro ente pubblico;Si;SEC 2-;4;SEC 2¯;FELICE CASORATI;NOSL010001;0031064060;;;;;
NO000447;0031310004;NO;Provincia;Romentino;003131;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Strada Provinciale per Novara, 4;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;BIAGIO PASCAL;NOTD002012;0031314003;4;SEC 2;BLAISE PASCAL;NOPS002016;0031314004
NO000449;0030240002;NO;Provincia;Borgomanero;003024;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;VIALE DON MINZONI GIOVANNI, 5;04. Comune;Si;SEC 2-;4;SEC 2¯;LEONARDO DA VINCI;NOTF02000R;0030244002;;;;;
NO000451;0031060042;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Baluardo La Marmora, 12;07. SocietÖ, fondazione o persone private ;Si;SEC 2-;4;SEC 2¯;OMAR;NOTF03000B;0031064006;;;;;
NO000452;0031060062;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Viale Curtatone, 1;03. Provincia;Si;SEC 2-;4;SEC 2¯;OMAR;NOTF03000B;0031064030;;;;;
NO000453;0031060050;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;No;PALESTRA;SI;capoluogo;Via Ricci, 14;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;GIACOMO FAUSER;NOTF040002;0031064005;4;SEC 2;GIACOMO FAUSER;NOTF040002;0031064036
NO000455;0031060041;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via S. Bernardino da Siena, 10;03. Provincia;Si;SEC 2-;4;SEC 2¯;P. L. NERVI;NOTL00601Q;0031064007;;;;;
NO000456;0030840004;NO;Comune;Lesa;003084;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;Via Alla Stazione, 9;04. Comune;Si;PRI-SEC 1-;2;PRI;.;NOEE819024;0030842004;3;SEC 1;ALESSANDRO MANZONI;NOMM819023;0030843001
NO000628;0030270001;NO;Comune;Briona;003027;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Velini, 2;04. Comune;Si;INF-;1;INF;DI BRIONA;NOAA80703N;0030271002;;;;;
NO000636;0030080004;NO;Comune;Arona;003008;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Monte Rosa, 36;04. Comune;Si;SEC 1-;3;SEC 1¯;GIOVANNI XXIII;NOMM821012;0030083001;;;;;
NO000648;0031060067;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;LUMELLOGNO;PIAZZA MARTIRI, 1;04. Comune;Si;INF-;1;INF;BRUNO MUNARI;NOAA82801L;0031061045;;;;;;;;;;
NO000654;0030080009;NO;Comune;Arona;003008;Utilizzato per uso scolastico;Validato;No;DIDATTICA;SI;capoluogo;Via CESARE  BATTISTI, 19;04. Comune;Si;INF-;1;INF;CESARE BATTISTI;NOAA01001C;0030081006;;;;;;;;;;
NO000655;0031060079;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;NOVARA;Via Redi, 2;04. Comune;Si;PRI-;2;PRI;P. THOUAR;NOEE82504D;0031062025;;;;;;;;;;
NO000711;0031200001;NO;Comune;Pogno;003120;Utilizzato per uso scolastico;In compilazione;Unico;DIDATTICA;SI;;VIA GARIBALDI, 12;04. Comune;Si;INF-PRI-;1;INF;ALLESINA MADDALENA POGGIO;NOAA804014;0031201001;2;PRI;.;NOEE80403B;0031202001;;;;;
NO000712;0031060051;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;No;DIDATTICA;SI;Vignale;Corso Risorgimento, 405;03. Provincia;Si;SEC 2-;4;SEC 2¯;BONFANTINI;NOTA00301B;0031064022;;;;;;;;;;
NO000715;0031300004;NO;Provincia;Romagnano Sesia;003130;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;PIAZZA XVI MARZO, 1;07. SocietÖ, fondazione o persone private ;Si;SEC 2-SEC 2-;4;SEC 2¯;BONFANTINI;NOTA00302C;0031304004;4;SEC 2;FELICE CASORATI;NOSL010023;0031304003;;;;;
NO000722;0030880002;NO;Comune;Maggiora;003088;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;Maggiora;PIAZZA CADUTI DI TUTTE LE GUERRE, 1;04. Comune;Si;PRI-;2;PRI;DI MAGGIORA;NOEE015051;0030882001;;;;;;;;;;
NO000728;0031000004;NO;Comune;Momo;003100;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via s. Pietro, 6;04. Comune;Si;PRI-;2;PRI;DI MOMO;NOEE81705G;0031002003;;;;;;;;;;
NO000743;0030080006;NO;Comune;Arona;003008;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;Via PIAVE, 43;04. Comune;Si;PRI-;2;PRI;GIAN FILIPPO USELLINI;NOEE010081;0030082003;;;;;;;;;;
NO000782;0031060013;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;NOVARA;Via GALVANI, 5;04. Comune;Si;INF-;1;INF;GALVANI;NOAA82802N;0031061046;;;;;;;;;;
NO000783;0031380002;NO;Comune;Sillavengo;003138;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Principe Amedeo, 2;06. Enti religiosi;Si;INF-;1;INF;DI SILLAVENGO;NOAA80704P;0031381001;;;;;;;;;;
NO000784;0030650001;NO;Comune;Fara Novarese;003065;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;capoluogo;Via Cesare Battisti, 25;04. Comune;Si;INF-;1;INF;F. STOPPANI;NOAA80705Q;0030651002;;;;;;;;;;
NO000785;0031060083;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;PALESTRA;SI;Capoluogo;VIA Dell`Archivio, 7;04. Comune;Si;PRI-SEC 1-SEC 1-;2;PRI;U. FERRANDI;NOEE827012;0031062015;3;SEC 1;MORANDI;NOMM827011;0031063008;3;SEC 1;SAN ROCCO;NOMM825019;0031063014
NO000786;0031060076;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;LUMELLOGNO;Piazza MARTIRI, 1;04. Comune;Si;PRI-;2;PRI;PIER LOMBARDO;NOEE82803X;0031062018;;;;;;;;;;
NO000812;0030240003;NO;Provincia;Borgomanero;003024;Utilizzato per uso scolastico;Validato;No;DIDATTICA;SI;capoluogo;VIALE DON MINZONI GIOVANNI, 5;04. Comune;Si;SEC 2-;4;SEC 2¯;LEONARDO DA VINCI;NOTF02000R;0030244002;;;;;;;;;;
NO000813;0031060047;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;Vignale;Corso Risorgimento, 405;03. Provincia;Si;SEC 2-;4;SEC 2¯;GIUSEPPE RAVIZZA;NORC01000L;0031064045;;;;;;;;;;
NO000814;0031060064;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;No;DIDATTICA;SI;Vignale;Corso Risorgimento, 405;03. Provincia;Si;SEC 2-;4;SEC 2¯;BONFANTINI;NOTA00301B;0031064022;;;;;;;;;;
NO000816;0031060054;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;No;DIDATTICA;SI;capoluogo;Via Liguria, 5;04. Comune;Si;SEC 2-;4;SEC 2¯;C. T. BELLINI;NORI00601P;0031064017;;;;;;;;;;
NO000817;0031060045;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;Via Ricci, 14;03. Provincia;Si;SEC 2-;4;SEC 2¯;GIACOMO FAUSER;NOTF040002;0031064005;;;;;;;;;;
NO000818;0031060059;NO;Provincia;Novara;003106;Utilizzato per uso scolastico;Validato;No;PALESTRA;SI;capoluogo;Viale Curtatone, 3;03. Provincia;Si;SEC 2-SEC 2-SEC 2-;4;SEC 2¯;OMAR;NOTF03000B;0031064006;4;SEC 2;OMAR;NOTF03000B;0031064030;4;SEC 2;P. L. NERVI;NOTL00601Q;0031064007
NO000820;0030080002;NO;Provincia;Arona;003008;Utilizzato per uso scolastico;Validato;No;PALESTRA;SI;capoluogo;Via MonTenero, 15;03. Provincia;Si;SEC 2-SEC 2-;4;SEC 2¯;FERMI;NOPS00401T;0030084015;4;SEC 2;FERMI;NOTD00401N;0030084014;;;;;
NO000821;0031060077;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;LUMELLOGNO;Piazza MARTIRI, 1;04. Comune;Si;PRI-;2;PRI;PIER LOMBARDO;NOEE82803X;0031062018;;;;;;;;;;
NO000822;0031060078;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;TORRION QUARTARA;Via PEROSI, 10;04. Comune;Si;PRI-;2;PRI;G. B. BAZZONI;NOEE83102P;0031062019;;;;;;;;;;
NO000823;0031060018;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;;NOVARA;Via AQUILEIA, 1;04. Comune;Si;-;;;;;;;;;;;;;;;
NO000824;0031060080;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;NOVARA;Via privata Buozzi, 7;04. Comune;Si;PRI-;2;PRI;P. THOUAR;NOEE82504D;0031062025;;;;;;;;;;
NO000825;0031060021;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;NOVARA;Via GIBELLINI, 56;04. Comune;Si;PRI-SEC 1-;2;PRI;ITALO CALVINO;NOEE82501A;0031062027;3;SEC 1;MORANDI;NOMM827011;0031063008;;;;;
NO000826;0031060038;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;PERNATE;Via SFORZA, 99;04. Comune;Si;SEC 1-;3;SEC 1¯;C. T. BELLINI;NOMM82301N;0031063005;;;;;;;;;;
NO000827;0031060082;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;PERNATE;Via COLLODI, sn;04. Comune;Si;PRI-;2;PRI;M. COPPINO;NOEE82302Q;0031062016;;;;;;;;;;
NO000828;0031060023;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Unico;DIDATTICA;SI;Capoluogo;Via Rivolta, 4;04. Comune;Si;SEC 1-;3;SEC 1¯;GASPARE PAJETTA;NOMM825019;0031063006;;;;;;;;;;
NO000829;0031060084;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;Sç;DIDATTICA;SI;Veveri;Via S. Caterina, 1;04. Comune;Si;INF-;1;INF;AMELIA FONTANA;NOAA825037;0031061039;;;;;;;;;;
NO000831;0031060086;NO;Comune;Novara;003106;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;Veveri;Via Vignale, 10a;04. Comune;Si;INF-;1;INF;AMELIA FONTANA;NOAA825037;0031061039;;;;;;;;;;
NO000832;0030160005;NO;Comune;Bellinzago Novarese;003016;Utilizzato per uso scolastico;In Modifica;No;PALESTRA;SI;Capoluogo;Via Demedici, sn;04. Comune;Si;PRI-;2;PRI;SCUOLA PRIMARIA STATALE -;NOEE813014;0030162001;;;;;;;;;;
NO000833;0030160002;NO;Comune;Bellinzago Novarese;003016;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;Via Demedici, 35/a;04. Comune;Si;SEC 1-;3;SEC 1¯;C. CALCATERRA;NOMM813013;0030163001;;;;;
NO000834;0030160003;NO;Comune;Bellinzago Novarese;003016;Utilizzato per uso scolastico;In Modifica;No;DIDATTICA;SI;capoluogo;via Demedici, 35/a;04. Comune;Si;SEC 1-;3;SEC 1¯;C. CALCATERRA;NOMM813013;0030163001;;;;;
NO000835;0030550003;NO;Comune;Cressa;003055;Utilizzato per uso scolastico;Validato;Unico;DIDATTICA;SI;capoluogo;Via Jean De Fernex, 15;04. Comune;Si;INF-;1;INF;DI CRESSA;NOAA817049;0030551001;;;;;
NO000836;0030760003;NO;Provincia;Gozzano;003076;Utilizzato per uso scolastico;Validato;Sç;DIDATTICA;SI;capoluogo;Via Gentile, 33;04. Comune;Si;SEC 2-;4;SEC 2¯;.;NOPS040011;0030764001;;;;;
